,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,Localidades
420026,3.0,2.0,1.0,68.0,62.0,170000.0,0,44
420029,4.0,3.0,1.0,140.0,93.0,225000.0,3,37
420030,4.0,3.0,1.0,140.0,110.0,238000.0,3,56
420032,4.0,3.0,1.0,71.0,67.0,157000.0,0,7
420033,4.0,3.0,2.0,110.0,110.0,215000.0,0,2
420034,4.0,3.0,2.0,116.0,105.0,260000.0,0,6
420035,4.0,3.0,2.0,149.0,116.0,349000.0,0,35
420037,4.0,3.0,2.0,73.0,73.0,72000.0,0,47
420038,5.0,4.0,2.0,188.0,171.0,430000.0,0,36
421320,1.0,1.0,1.0,31.0,28.0,80000.0,0,26
421373,1.0,1.0,1.0,22.0,22.0,37000.0,0,39
421396,1.0,1.0,1.0,41.0,37.0,125000.0,0,13
421398,1.0,1.0,1.0,28.0,28.0,78000.0,0,26
421405,1.0,1.0,1.0,48.0,27.0,89000.0,0,26
421407,1.0,1.0,1.0,43.0,37.0,109000.0,0,26
421408,1.0,1.0,1.0,45.0,45.0,210000.0,0,26
421409,1.0,1.0,1.0,40.0,33.0,163160.0,0,26
421410,1.0,1.0,1.0,35.0,28.0,141120.0,0,26
421411,1.0,1.0,1.0,36.0,31.0,102000.0,0,26
421431,1.0,1.0,1.0,47.0,37.0,98000.0,0,6
421442,1.0,1.0,1.0,33.0,33.0,140000.0,0,35
421463,1.0,1.0,1.0,33.0,33.0,140000.0,0,5
421484,1.0,1.0,1.0,52.0,37.0,161500.0,0,26
421485,1.0,1.0,1.0,43.0,36.0,105000.0,0,26
421488,1.0,1.0,1.0,97.0,97.0,180800.0,0,21
421489,1.0,1.0,1.0,116.0,33.0,195000.0,0,55
421656,1.0,1.0,1.0,40.0,35.0,79800.0,0,30
421705,2.0,1.0,1.0,85.0,40.0,125000.0,3,32
421707,2.0,1.0,1.0,69.0,53.0,115900.0,3,31
421723,2.0,1.0,1.0,56.0,51.0,125000.0,0,26
421736,2.0,1.0,1.0,39.0,36.0,46900.0,0,18
421738,2.0,1.0,1.0,168.0,54.0,173000.0,0,35
421739,2.0,1.0,1.0,43.0,43.0,64780.0,0,3
421742,2.0,1.0,1.0,52.0,38.0,80000.0,0,9
421743,2.0,1.0,1.0,45.0,43.0,129000.0,0,9
421758,2.0,1.0,1.0,34.0,34.0,64000.0,0,49
421777,2.0,1.0,1.0,93.0,32.0,145000.0,0,17
421780,2.0,1.0,1.0,53.0,45.0,118000.0,0,24
421781,2.0,1.0,1.0,52.0,52.0,93000.0,0,2
421782,2.0,1.0,1.0,39.0,36.0,87500.0,0,2
421783,2.0,1.0,1.0,40.0,40.0,80000.0,0,26
421785,2.0,1.0,1.0,51.0,46.0,132000.0,0,6
421791,2.0,1.0,1.0,41.0,41.0,134000.0,0,14
421794,2.0,1.0,1.0,46.0,38.0,99000.0,0,23
421803,2.0,2.0,2.0,57.0,57.0,185000.0,0,26
421805,2.0,1.0,1.0,65.0,54.0,285000.0,0,34
421846,2.0,1.0,1.0,42.0,42.0,69900.0,0,44
421864,2.0,1.0,1.0,47.0,37.0,84000.0,3,55
421865,2.0,1.0,1.0,65.0,39.0,95000.0,3,50
421886,2.0,1.0,1.0,47.0,40.0,99000.0,0,7
421887,2.0,1.0,1.0,44.0,44.0,70000.0,0,8
421900,2.0,1.0,1.0,26.0,26.0,33000.0,0,17
421914,2.0,1.0,1.0,42.0,37.0,115000.0,0,24
421915,2.0,1.0,1.0,57.0,40.0,148000.0,0,24
421919,2.0,1.0,1.0,52.0,50.0,105000.0,0,2
421920,2.0,1.0,1.0,51.0,42.0,89000.0,0,2
421923,2.0,1.0,1.0,39.0,39.0,82800.0,0,2
421925,2.0,1.0,1.0,44.0,41.0,119900.0,0,13
421929,2.0,1.0,1.0,62.0,53.0,200000.0,0,26
421930,2.0,1.0,1.0,37.0,37.0,120000.0,0,26
421931,2.0,1.0,1.0,42.0,37.0,125000.0,0,26
421932,2.0,1.0,1.0,37.0,37.0,117000.0,0,26
421933,2.0,1.0,1.0,63.0,57.0,210000.0,0,26
421938,2.0,1.0,1.0,41.0,41.0,145000.0,0,26
421979,2.0,1.0,1.0,35.0,35.0,65000.0,0,18
421986,2.0,1.0,1.0,50.0,45.0,180000.0,0,35
421987,2.0,1.0,1.0,52.0,52.0,150000.0,0,35
421988,2.0,1.0,1.0,40.0,37.0,109000.0,0,35
421991,2.0,1.0,1.0,55.0,52.0,120000.0,0,35
421992,2.0,1.0,1.0,48.0,44.0,122000.0,0,37
421993,2.0,1.0,1.0,40.0,40.0,72000.0,0,3
421995,2.0,1.0,1.0,34.0,34.0,65000.0,0,9
421997,2.0,1.0,1.0,58.0,49.0,120000.0,0,9
422000,2.0,1.0,1.0,40.0,40.0,75000.0,0,40
422001,2.0,1.0,1.0,40.0,35.0,80000.0,0,40
422017,2.0,1.0,1.0,42.0,29.0,84900.0,0,5
422026,2.0,1.0,1.0,30.0,30.0,69900.0,0,44
422029,2.0,1.0,1.0,38.0,35.0,95000.0,0,45
